MES,ADYEN_TIME,TIPO,GATEWAY_TOKEN,ADQUIRIENTE,MERCHANT_ACCOUNT,REFERENCE_MODEL,ADQ_VENTAS,RAPPI_VENTAS,CONCILIACION,ADQ_TRX,RAPPI_TRX
2020-12-30,2020-12-30,Refunds_orders,YU3bdD6yq010mJ9mNdL88EXj3p9,Adyen,RappiBR_Safe,Order,-43482.27,-43482.27,1.0,803,803
2020-12-30,2020-12-30,Refunds_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,Order,-130539.93,-130539.93,1.0,1518,1518
2020-12-30,2020-12-30,Refunds_others,AtDm0jFt546Yb99d2luT1iHRDp3,Adyen,RappiBR_Loyalty,Prime,-2231.6,-2231.60,1.0,62,62
2020-12-30,2020-12-30,Ventas_orders,1IA6WE9TFgv1V4GwfYdq6hENJ6W,Adyen,RappiBR_GooglePay,Order,4165.79,4165.79,1.0,87,87
2020-12-30,2020-12-30,Ventas_orders,YU3bdD6yq010mJ9mNdL88EXj3p9,Adyen,RappiBR_Safe,Order,1964071.75,1964071.75,1.0,15713,15713
2020-12-30,2020-12-30,Ventas_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,Order,2649669.14,2649669.14,1.0,31796,31796
2020-12-30,2020-12-30,Ventas_others,9jKyGo93uycAm6SHdYQoFq1qPHl,Adyen,RappiBR_Pay,RappiPay,3154.63,3154.63,1.0,29,29
2020-12-30,2020-12-30,Ventas_others,AtDm0jFt546Yb99d2luT1iHRDp3,Adyen,RappiBR_Loyalty,Prime,233039.62,233039.62,1.0,7375,7375
2020-12-30,2020-12-30,Ventas_others,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,RappiPay,3061.0,3061.00,1.0,7,7
2020-12-30,2020-12-31,Refunds_orders,YU3bdD6yq010mJ9mNdL88EXj3p9,Adyen,RappiBR_Safe,Order,-8951.96,-8951.96,1.0,167,167
2020-12-30,2020-12-31,Refunds_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,Order,-26624.08,-26624.08,1.0,526,526
2020-12-30,2020-12-31,Refunds_others,AtDm0jFt546Yb99d2luT1iHRDp3,Adyen,RappiBR_Loyalty,Prime,-418.59999999999997,-418.60,0.9999999999999999,10,10
2020-12-30,2020-12-31,Ventas_orders,1IA6WE9TFgv1V4GwfYdq6hENJ6W,Adyen,RappiBR_GooglePay,Order,3591.64,3591.64,1.0,68,68
2020-12-30,2020-12-31,Ventas_orders,YU3bdD6yq010mJ9mNdL88EXj3p9,Adyen,RappiBR_Safe,Order,314711.73,314711.73,1.0,3172,3172
2020-12-30,2020-12-31,Ventas_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,Order,873695.13,873695.13,1.0,12812,12812
2020-12-30,2020-12-31,Ventas_others,9jKyGo93uycAm6SHdYQoFq1qPHl,Adyen,RappiBR_Pay,RappiPay,5732.0,5732.00,1.0,12,12
2020-12-30,2020-12-31,Ventas_others,AtDm0jFt546Yb99d2luT1iHRDp3,Adyen,RappiBR_Loyalty,Prime,2475.72,2475.72,1.0,70,70
2020-12-30,,Refunds_orders,1IA6WE9TFgv1V4GwfYdq6hENJ6W,Adyen,,Order,,-624.76,,0,12
2020-12-30,,Refunds_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,,Order,,-145.11,,0,5
2020-12-30,,Ventas_orders,YU3bdD6yq010mJ9mNdL88EXj3p9,Adyen,,Order,,78.64,,0,2
2020-12-30,,Ventas_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,,Order,,3062.30,,0,38
2020-12-31,2020-12-31,Refunds_orders,YU3bdD6yq010mJ9mNdL88EXj3p9,Adyen,RappiBR_Safe,Order,-41198.31,-41198.31,1.0,815,815
2020-12-31,2020-12-31,Refunds_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,Order,-86576.43,-86576.43,1.0,1513,1513
2020-12-31,2020-12-31,Refunds_others,AtDm0jFt546Yb99d2luT1iHRDp3,Adyen,RappiBR_Loyalty,Prime,-2697.74,-2697.74,1.0,65,65
2020-12-31,2020-12-31,Ventas_orders,1IA6WE9TFgv1V4GwfYdq6hENJ6W,Adyen,RappiBR_GooglePay,Order,5273.39,5273.39,1.0,81,81
2020-12-31,2020-12-31,Ventas_orders,YU3bdD6yq010mJ9mNdL88EXj3p9,Adyen,RappiBR_Safe,Order,1796425.29,1796425.29,1.0,15893,15893
2020-12-31,2020-12-31,Ventas_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,Order,2277752.37,2277752.37,1.0,28289,28289
2020-12-31,2020-12-31,Ventas_others,9jKyGo93uycAm6SHdYQoFq1qPHl,Adyen,RappiBR_Pay,RappiPay,4835.65,4835.65,1.0,27,27
2020-12-31,2020-12-31,Ventas_others,AtDm0jFt546Yb99d2luT1iHRDp3,Adyen,RappiBR_Loyalty,Prime,71411.64,71411.64,1.0,1738,1738
2020-12-31,2020-12-31,Ventas_others,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,RappiPay,2155.31,2155.31,1.0,8,8
2020-12-31,2021-01-01,Refunds_orders,YU3bdD6yq010mJ9mNdL88EXj3p9,Adyen,RappiBR_Safe,Order,-2490.29,-2490.29,1.0,35,35
2020-12-31,2021-01-01,Refunds_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,Order,-14013.82,-14013.82,1.0,191,191
2020-12-31,2021-01-01,Refunds_others,AtDm0jFt546Yb99d2luT1iHRDp3,Adyen,RappiBR_Loyalty,Prime,-119.6,-119.60,1.0,4,4
2020-12-31,2021-01-01,Ventas_orders,1IA6WE9TFgv1V4GwfYdq6hENJ6W,Adyen,RappiBR_GooglePay,Order,610.98,610.98,1.0,9,9
2020-12-31,2021-01-01,Ventas_orders,YU3bdD6yq010mJ9mNdL88EXj3p9,Adyen,RappiBR_Safe,Order,64268.17,64268.17,1.0,871,871
2020-12-31,2021-01-01,Ventas_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,Order,145003.43,145003.43,1.0,2102,2102
2020-12-31,2021-01-01,Ventas_others,9jKyGo93uycAm6SHdYQoFq1qPHl,Adyen,RappiBR_Pay,RappiPay,10.0,10.00,1.0,1,1
2020-12-31,2021-01-01,Ventas_others,AtDm0jFt546Yb99d2luT1iHRDp3,Adyen,RappiBR_Loyalty,Prime,433.54999999999995,433.55,0.9999999999999999,15,15
2020-12-31,,Refunds_orders,1IA6WE9TFgv1V4GwfYdq6hENJ6W,Adyen,,Order,,-774.13,,0,9
2020-12-31,,Refunds_orders,YU3bdD6yq010mJ9mNdL88EXj3p9,Adyen,,Order,,-92.32,,0,2
2020-12-31,,Ventas_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,,Order,,3203.17,,0,38
2021-01-01,2021-01-01,Refunds_orders,YU3bdD6yq010mJ9mNdL88EXj3p9,Adyen,RappiBR_Safe,Order,-3972.44,-3972.44,1.0,91,91
2021-01-01,2021-01-01,Refunds_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,Order,-58254.14,-58254.14,1.0,489,489
2021-01-01,2021-01-01,Refunds_others,AtDm0jFt546Yb99d2luT1iHRDp3,Adyen,RappiBR_Loyalty,Prime,-4200.95,-4200.95,1.0,92,92
2021-01-01,2021-01-01,Ventas_orders,1IA6WE9TFgv1V4GwfYdq6hENJ6W,Adyen,RappiBR_GooglePay,Order,2128.29,2128.29,1.0,40,40
2021-01-01,2021-01-01,Ventas_orders,YU3bdD6yq010mJ9mNdL88EXj3p9,Adyen,RappiBR_Safe,Order,316047.13,316047.13,1.0,3748,3748
2021-01-01,2021-01-01,Ventas_orders,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,Order,712842.66,712842.66,1.0,11368,11368
2021-01-01,2021-01-01,Ventas_others,9jKyGo93uycAm6SHdYQoFq1qPHl,Adyen,RappiBR_Pay,RappiPay,1704.3,1704.30,1.0,9,9
2021-01-01,2021-01-01,Ventas_others,AtDm0jFt546Yb99d2luT1iHRDp3,Adyen,RappiBR_Loyalty,Prime,151866.19999999998,151866.20,0.9999999999999998,4687,4687
2021-01-01,2021-01-01,Ventas_others,YYihqqY7qTpuME1HIkQgri5T7nk,Adyen,RappiBR,RappiPay,666.9,666.90,1.0,6,6
