PAIS,FECHA,ADQUIRIENTE,RUBRO,VENTAS_ADQ_SIM,VENTAS_RAPPI_SIM,CONC_SIM_VEN,FEE_ADQ_SIM,FEE_RAPPI_SIM,CONC_SIM_FEE,TAX_ADQ_SIM,TAX_RAPPI_SIM,CONC_SIM_TAX,TRX_ADQ_SIM,TRX_RAPPI_SIM,FALTANTES_SIM
Colombia,2021-08-30,Wompi,Ventas,132449480.0,132449480.00,1.0,1656575.3699999999,1656575.3699999999,1.0,0.0,314749.32029999996,0.0,4261,4261,0
Colombia,2021-08-31,Wompi,Ventas,154625730.0,154625730.00,1.0,1941141.18,1941141.18,1.0,0.0,368816.8242,0.0,4886,4886,0
Colombia,2021-09-01,Wompi,Ventas,152699766.0,152699766.00,1.0,1910786.7449999999,1910786.7449999999,1.0,0.0,363049.48154999997,0.0,4993,4993,0
Colombia,2021-09-02,Wompi,Ventas,152813049.0,152813049.00,1.0,1929658.635,1929658.635,1.0,0.0,366635.14065,0.0,4973,4973,0
Colombia,2021-09-03,Wompi,Ventas,194814480.0,194814480.00,1.0,2365103.88,2365103.88,1.0,0.0,449369.7372,0.0,6070,6070,0
Colombia,2021-09-04,Wompi,Ventas,202635018.0,202635018.00,1.0,2467717.995,2467717.995,1.0,0.0,468866.41905,0.0,6023,6023,0
Colombia,2021-09-05,Wompi,Ventas,229496733.0,229496733.00,1.0,2797301.88,2797301.88,1.0,0.0,531487.3572,0.0,6624,6624,0
Colombia,2021-09-06,Wompi,Ventas,129192070.0,129192070.00,1.0,1633150.635,1633150.635,1.0,0.0,310298.62065,0.0,4361,4361,0
Colombia,2021-09-07,Wompi,Ventas,148383731.0,148383731.00,1.0,1874146.8599999999,1874146.8599999999,1.0,0.0,356087.90339999995,0.0,4971,4971,0
Colombia,2021-09-08,Wompi,Ventas,140113252.0,140113252.00,1.0,1779233.07,1779233.07,1.0,0.0,338054.2833,0.0,4645,4645,0
Colombia,2021-09-09,Wompi,Ventas,163113811.0,163113811.00,1.0,2009521.335,2009521.335,1.0,0.0,381809.05365,0.0,5240,5240,0
Colombia,2021-09-10,Wompi,Ventas,191994828.0,191994828.00,1.0,2400195.495,2400195.495,1.0,0.0,456037.14405,0.0,6176,6176,0
Colombia,2021-09-11,Wompi,Ventas,207765034.0,207765034.00,1.0,2528752.29,2528752.29,1.0,0.0,480462.9351,0.0,6208,6208,0
Colombia,2021-09-12,Wompi,Ventas,233654220.0,233654220.00,1.0,2839318.98,2839318.98,1.0,0.0,539470.6062,0.0,6799,6799,0
Colombia,2021-09-13,Wompi,Ventas,127563154.0,127563154.00,1.0,1581633.135,1581633.135,1.0,0.0,300510.29565,0.0,4250,4250,0
Colombia,2021-09-14,Wompi,Ventas,143436840.0,143436840.00,1.0,1751369.46,1751369.46,1.0,0.0,332760.1974,0.0,4595,4595,0
Colombia,2021-09-15,Wompi,Ventas,154116534.0,154116534.00,1.0,1967580.84,1967580.84,1.0,0.0,373840.3596,0.0,5085,5085,0
Colombia,2021-09-16,Wompi,Ventas,163064112.0,163064112.00,1.0,2065995.09,2065995.09,1.0,0.0,392539.06710000004,0.0,5533,5533,0
Colombia,2021-09-17,Wompi,Ventas,141044918.0,141044918.00,1.0,1783545.615,1783545.615,1.0,0.0,338873.66685,0.0,4477,4477,0
Colombia,2021-09-18,Wompi,Ventas,222942191.0,222942191.00,1.0,2730422.0999999996,2730422.0999999996,1.0,0.0,518780.19899999996,0.0,6592,6592,0
Colombia,2021-09-19,Wompi,Ventas,222902247.0,222902247.00,1.0,2755196.505,2755196.505,1.0,0.0,523487.33595,0.0,6545,6545,0
Colombia,2021-09-20,Wompi,Ventas,105040774.0,105040774.00,1.0,1324881.975,1324881.975,1.0,0.0,251727.57525000002,0.0,3580,3580,0
Colombia,2021-09-21,Wompi,Ventas,122950662.0,122950662.00,1.0,1546899.63,1546899.63,1.0,0.0,293910.9297,0.0,4071,4071,0
Colombia,2021-09-22,Wompi,Ventas,136618869.0,136618869.00,1.0,1742776.725,1742776.725,1.0,0.0,331127.57775,0.0,4520,4520,0
Colombia,2021-09-23,Wompi,Ventas,138596209.0,138596209.00,1.0,1793877.63,1793877.63,1.0,0.0,340836.7497,0.0,4785,4785,0
Colombia,2021-09-24,Wompi,Ventas,193649430.0,193649430.00,1.0,2406240.33,2406240.33,1.0,0.0,457185.66270000004,0.0,6050,6050,0
Colombia,2021-09-25,Wompi,Ventas,203474108.0,203474108.00,1.0,2506772.2199999997,2506772.2199999997,1.0,0.0,476286.72179999994,0.0,6080,6080,0
Colombia,2021-09-26,Wompi,Ventas,214764697.0,214764697.00,1.0,2660065.41,2660065.41,1.0,0.0,505412.4279,0.0,6449,6449,0
Colombia,2021-09-27,Wompi,Ventas,127193490.0,127193490.00,1.0,1614590.7,1614590.7,1.0,0.0,306772.233,0.0,4259,4259,0
Colombia,2021-09-28,Wompi,Ventas,144509048.0,144509048.00,1.0,1830883.905,1830883.905,1.0,0.0,347867.94195,0.0,4877,4877,0
Colombia,2021-09-29,Wompi,Ventas,155683152.0,155683152.00,1.0,1978659.285,1978659.285,1.0,0.0,375945.26415,0.0,5191,5191,0
Colombia,2021-09-30,Wompi,Ventas,196874895.0,196874895.00,1.0,2455644.45,2455644.45,1.0,0.0,466572.44550000003,0.0,6295,6295,0
Colombia,2021-10-01,Wompi,Ventas,224777784.0,224777784.00,1.0,2758201.65,2758201.65,1.0,0.0,524058.3135,0.0,6842,6842,0
Colombia,2021-10-02,Wompi,Ventas,232727602.0,232727602.00,1.0,2806074.0,2806074.0,1.0,0.0,533154.06,0.0,6640,6640,0
Colombia,2021-10-03,Wompi,Ventas,235229357.0,235229357.00,1.0,2884920.87,2884920.87,1.0,0.0,548134.9653,0.0,6890,6890,0
Colombia,2021-10-04,Wompi,Ventas,135479669.0,135479669.00,1.0,1720614.63,1720614.63,1.0,0.0,326916.77969999996,0.0,4563,4563,0
Colombia,2021-10-05,Wompi,Ventas,152547801.0,152547801.00,1.0,1911582.165,1911582.165,1.0,0.0,363200.61135,0.0,5026,5026,0
Colombia,2021-10-06,Wompi,Ventas,132466537.0,132466537.00,1.0,1682133.54,1682133.54,1.0,0.0,319605.3726,0.0,4243,4243,0
Colombia,2021-10-07,Wompi,Ventas,167609302.0,167609302.00,1.0,2088920.4,2088920.4,1.0,0.0,396894.876,0.0,5180,5180,0
Colombia,2021-10-08,Wompi,Ventas,195871796.0,195871796.00,1.0,2431023.84,2431023.84,1.0,0.0,461894.52959999995,0.0,5904,5904,0
Colombia,2021-10-09,Wompi,Ventas,213908357.0,213908357.00,1.0,2625861.09,2625861.09,1.0,0.0,498913.60709999996,0.0,6204,6204,0
Colombia,2021-10-10,Wompi,Ventas,241970757.0,241970757.00,1.0,2985500.04,2985500.04,1.0,0.0,567245.0076,0.0,6998,6998,0
Colombia,2021-10-11,Wompi,Ventas,128781196.0,128781196.00,1.0,1653342.165,1653342.165,1.0,0.0,314135.01135,0.0,4319,4319,0
Colombia,2021-10-12,Wompi,Ventas,136341414.0,136341414.00,1.0,1720444.47,1720444.47,1.0,0.0,326884.4493,0.0,4374,4374,0
Colombia,2021-10-13,Wompi,Ventas,131194091.0,131194091.00,1.0,1674549.465,1674549.465,1.0,0.0,318164.39835000003,0.0,4198,4198,0
Colombia,2021-10-14,Wompi,Ventas,157043454.0,157043454.00,1.0,1986431.64,1986431.64,1.0,0.0,377422.01159999997,0.0,4849,4849,0
Colombia,2021-10-15,Wompi,Ventas,198672580.0,198672580.00,1.0,2435759.295,2435759.295,1.0,0.0,462794.26605,0.0,5771,5771,0
Colombia,2021-10-16,Wompi,Ventas,213855097.0,213855097.00,1.0,2569163.34,2569163.34,1.0,0.0,488141.03459999996,0.0,5966,5966,0
Colombia,2021-10-17,Wompi,Ventas,190532708.0,190532708.00,1.0,2356234.08,2356234.08,1.0,0.0,447684.47520000004,0.0,5566,5566,0
Colombia,2021-10-18,Wompi,Ventas,191623158.0,191623158.00,1.0,2380699.3649999998,2380699.3649999998,1.0,0.0,452332.87934999994,0.0,5672,5672,0
Colombia,2021-10-19,Wompi,Ventas,120749056.0,120749056.00,1.0,1543671.9,1543671.9,1.0,0.0,293297.66099999996,0.0,3952,3952,0
Colombia,2021-10-20,Wompi,Ventas,127708096.0,127708096.00,1.0,1640784.315,1640784.315,1.0,0.0,311749.01985,0.0,4189,4189,0
Colombia,2021-10-21,Wompi,Ventas,127944525.0,127944525.00,1.0,1604562.63,1604562.63,1.0,0.0,304866.8997,0.0,4066,4066,0
Colombia,2021-10-22,Wompi,Ventas,169628394.0,169628394.00,1.0,2108502.675,2108502.675,1.0,0.0,400615.50824999996,0.0,5141,5141,0
Colombia,2021-10-23,Wompi,Ventas,190086455.0,190086455.00,1.0,2311344.15,2311344.15,1.0,0.0,439155.3885,0.0,5439,5439,0
Colombia,2021-10-24,Wompi,Ventas,197982294.0,197982294.00,1.0,2386762.38,2386762.38,1.0,0.0,453484.85219999996,0.0,5571,5571,0
Colombia,2021-10-25,Wompi,Ventas,113480669.0,113480669.00,1.0,1431365.73,1431365.73,1.0,0.0,271959.4887,0.0,3683,3683,0
Colombia,2021-10-26,Wompi,Ventas,119325247.0,119325247.00,1.0,1519381.95,1519381.95,1.0,0.0,288682.5705,0.0,3850,3850,0
